uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-10-551-719465,dutch,ja,ja,719465,719719,spreker2 [v] (TIE2),254,-254,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-573-744238,dutch,ja,ja,744238,744591,spreker2 [v] (TIE2),353,44,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-658-868466,dutch,oké,oké,868466,869139,spreker2 [v] (TIE2),673,-342,partial,talk,3,89,1.3844927413661329e-8,124,2
dutch-11-005-2958,dutch,ja,ja,2958,3295,spreker2 [v] (TIE2),337,-604,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-014-14374,dutch,ja,ja,14374,14583,spreker2 [v] (TIE2),209,-325,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-019-18475,dutch,ja,ja,18475,18858,spreker1 [v] (TIE0),383,163,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-020-19137,dutch,ja,ja,19137,19509,spreker1 [v] (TIE0),372,-337,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-022-20132,dutch,ja,ja,20132,20329,spreker1 [v] (TIE0),197,-465,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-023-20934,dutch,ja,ja,20934,21212,spreker1 [v] (TIE0),278,337,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-025-21921,dutch,ja,ja,21921,22246,spreker1 [v] (TIE0),325,-964,full,talk,2,77862,1.2112289194185375e-5,1,6
dutch-11-029-28404,dutch,ja,ja,28404,28682,spreker2 [v] (TIE2),278,419,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-033-33058,dutch,ja,ja,33058,33441,spreker2 [v] (TIE2),383,-139,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-040-41279,dutch,ja,ja,41279,41558,spreker1 [v] (TIE0),279,325,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-042-42232,dutch,ja,ja,42232,42441,spreker1 [v] (TIE0),209,-534,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-044-43614,dutch,ja [laugh],ja,43614,44485,spreker1 [v] (TIE0),871,-1464,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-046-45531,dutch,ja,ja,45531,45938,spreker1 [v] (TIE0),407,23,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-058-58817,dutch,ja,ja,58817,59120,spreker1 [v] (TIE0),303,-210,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-063-64719,dutch,ja,ja,64718.99999999999,65056,spreker1 [v] (TIE0),337.0000000000073,92.99999999998543,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-068-67403,dutch,ja,ja,67403,67612,spreker1 [v] (TIE0),209,-906,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-070-68960,dutch,ja,ja,68960.00000000001,69308,spreker1 [v] (TIE0),347.99999999998545,-789.9999999999854,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-071-69657,dutch,ja,ja,69657,70249,spreker1 [v] (TIE0),592,-93,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-084-84283,dutch,ja,ja,84283,84515.99999999999,spreker1 [v] (TIE0),232.99999999998545,-186,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-120-123062,dutch,ja,ja,123062,123259,spreker2 [v] (TIE2),197,-128,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-134-143154,dutch,ja,ja,143154,143514,spreker2 [v] (TIE2),360,163,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-135-145210,dutch,ja,ja,145210,145489,spreker2 [v] (TIE2),279,-175,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-138-148579,dutch,ja,ja,148579,148835,spreker2 [v] (TIE2),256,-1685,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-177-200100,dutch,ja,ja,200100,200437,spreker2 [v] (TIE2),337,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-206-241550,dutch,ja,ja,241550,242003,spreker1 [v] (TIE0),453,1573,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-261-310069,dutch,ja,ja,310069,310383,spreker2 [v] (TIE2),314,0,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-272-324169,dutch,ja,ja,324169,324797,spreker2 [v] (TIE2),628,-1720,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-281-334599,dutch,ja,ja,334599,335284.99999999994,spreker1 [v] (TIE0),685.9999999999418,34,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-283-337573,dutch,ja,ja,337573,338061,spreker1 [v] (TIE0),488,-1859,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-284-338665,dutch,ja,ja,338665,338921,spreker1 [v] (TIE0),256,-767,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-285-339548,dutch,ja,ja,339548,339850,spreker1 [v] (TIE0),302,116,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-286-340462,dutch,ja,ja,340462,340776,spreker1 [v] (TIE0),314,NA,NA,talk,2,77862,1.2112289194185375e-5,1,6
dutch-11-288-341845,dutch,ja,ja,341845,342228,spreker1 [v] (TIE0),383,-2660,full,talk,2,77862,1.2112289194185375e-5,1,7
dutch-11-289-343297,dutch,ja,ja,343297,343680,spreker1 [v] (TIE0),383,-1208,full,talk,2,77862,1.2112289194185375e-5,1,8
dutch-11-300-357136,dutch,ja,ja,357136,357357,spreker2 [v] (TIE2),221,105,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-309-365514,dutch,ja,ja,365514,365735,spreker2 [v] (TIE2),221,-837,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-324-389315,dutch,ja,ja,389315,389547,spreker2 [v] (TIE2),232,-46,NA,talk,2,77862,1.2112289194185375e-5,1,2
